stock_date,product_id,total_stock
2021-01-24,124329,140
2021-01-11,156095,8007
2021-12-24,128194,8
2021-02-21,110675,54
2021-09-17,143220,450
2021-01-01,134200,638
2021-07-09,149306,41
2021-09-04,157318,353
2021-11-02,157318,1001
2021-08-15,164725,12
2021-01-21,132408,273
2021-04-29,156485,42
2021-05-08,162101,1602
2021-07-23,156474,72
2021-12-18,125506,513
2021-10-12,163385,372
2021-11-13,143220,371
2021-09-05,134200,675
2021-02-11,143226,6
2021-04-25,125506,799
2021-08-24,162101,368
2021-03-15,145377,418
2021-09-26,156095,9
2021-04-02,157317,282
2021-10-30,145377,21
2021-04-28,136250,712
2021-05-09,154557,9
2021-04-04,110853,334
2021-12-15,112437,58
2021-07-15,132842,610
2021-04-22,121807,91
2021-03-30,132284,12
2021-01-06,112582,5
2021-12-13,154553,6
2021-10-15,131910,199
2021-09-13,110675,50
2021-08-16,112376,700
2021-09-07,156866,179
2021-05-19,162101,1574
2021-05-11,132408,290
2021-05-04,112376,1029
2021-07-02,103851,787
2021-10-04,139935,7217
2021-05-22,110675,2234
2021-04-16,156485,3
2021-09-15,164725,14
2021-07-31,145377,50
2021-03-15,157318,322
2021-04-19,122363,297
2021-09-30,132842,714
2021-07-17,154557,120
2021-11-21,154553,5
2021-11-10,112582,15
2021-03-22,124329,156
2021-07-30,133888,66
2021-05-24,143220,358
2021-08-28,121807,207
2021-07-14,103851,793
2021-04-27,122363,315
2021-05-13,157913,510
2021-06-11,154553,90
2021-11-09,162101,786
2021-02-05,136250,118
2021-10-31,112437,108
2021-04-12,145377,498
2021-08-15,110675,55
2021-12-19,157913,569
2021-01-07,143220,345
2021-09-20,139935,7304
2021-09-04,156866,188
2021-06-25,156866,368
2021-01-16,134200,623
2021-01-22,142254,66
2021-09-11,139935,7505
2021-07-25,149301,754
2021-12-04,157316,402
2021-12-05,112437,166
2021-08-30,132284,10
2021-11-03,134358,200
2021-04-30,124329,83
2021-09-12,164725,1
2021-03-29,112437,1545
2021-11-03,149306,258
2021-09-05,128772,99
2021-10-12,156866,186
2021-01-31,149306,16
2021-10-06,143220,290
2021-03-21,145377,449
2021-10-19,154553,6
2021-12-30,156866,84
2021-11-10,157913,428
2021-06-25,157316,11
2021-04-05,112582,243
2021-05-13,134358,150
2021-06-02,161147,518
2021-09-22,142254,160
2021-02-10,133888,26
2021-07-02,142254,350
2021-05-09,143226,117
2021-12-09,112376,1366
2021-01-31,157318,80
2021-01-08,157913,332
2021-07-03,154553,108
2021-10-30,128194,21
2021-02-21,157317,97
2021-02-13,156095,2114
2021-09-22,134358,14
2021-03-18,106100,75
2021-09-20,122363,240
2021-07-13,145377,53
2021-12-13,132284,109
2021-08-08,156474,21
2021-12-19,112376,1255
2021-02-06,157316,27
2021-10-29,125506,369
2021-08-24,121807,204
2021-03-31,107645,348
2021-06-16,107645,436
2021-02-09,110908,119
2021-09-24,112376,690
2021-12-06,149301,386
2021-07-10,133888,96
2021-03-11,154553,22
2021-07-26,157317,212
2021-06-13,124329,225
2021-03-10,139935,10093
2021-10-19,145377,23
2021-04-03,110675,426
2021-11-21,157913,347
2021-11-20,134200,612
2021-10-26,143226,908
2021-12-21,134200,737
2021-08-01,157317,272
2021-07-02,157913,428
2021-11-10,121807,169
2021-09-27,112376,644
2021-04-06,157318,301
2021-11-01,145377,21
2021-08-12,145377,43
2021-11-29,156095,62
2021-06-14,112377,630
2021-11-11,126707,17
2021-07-31,125506,432
2021-09-11,154553,6
2021-09-12,103851,583
2021-01-02,157318,300
2021-06-23,136250,919
2021-02-06,133888,18
2021-02-24,143226,3
2021-11-08,160649,6
2021-11-27,156095,62
2021-12-20,112437,43
2021-06-23,121807,133
2021-01-19,145377,338
2021-10-27,122363,188
2021-03-26,134358,56
2021-02-05,143226,11
2021-06-06,126707,22
2021-05-21,132842,630
2021-03-27,125506,1172
2021-03-28,132284,21
2021-10-07,143220,566
2021-10-24,121807,261
2021-09-26,157316,52
2021-02-07,112582,4
2021-09-23,110675,42
2021-12-22,139935,4260
2021-12-26,149306,318
2021-10-24,154553,7
2021-10-24,157317,274
2021-12-14,106100,22
2021-04-17,110908,701
2021-02-10,136250,112
2021-03-01,112437,2546
2021-11-17,145377,21
2021-11-21,143226,446
2021-01-28,132842,73
2021-02-26,124329,148
2021-10-05,149301,492
2021-10-03,145377,24
2021-01-28,143220,166
2021-09-04,161147,313
2021-09-02,110853,7
2021-09-24,134358,13
2021-03-27,149306,69
2021-10-25,157318,1688
2021-09-08,149301,459
2021-04-11,145377,467
2021-12-02,161147,220
2021-01-30,132842,166
2021-11-30,143226,423
2021-05-20,126707,22
2021-01-01,132284,269
2021-05-26,154553,38
2021-12-30,157316,443
2021-02-18,133888,132
2021-06-13,156866,276
2021-01-07,110853,217
2021-09-13,156485,1
2021-03-21,122363,238
2021-07-24,112437,436
2021-07-11,112582,164
2021-08-14,132408,321
2021-09-03,156866,188
2021-08-17,121807,194
2021-04-12,139935,6834
2021-12-17,124455,7
2021-09-23,112377,459
2021-12-04,128772,52
2021-08-26,128194,59
2021-03-07,131910,324
2021-08-27,110853,10
2021-12-27,154557,448
2021-07-10,162101,326
2021-01-20,132408,274
2021-12-03,149306,481
2021-01-26,157318,84
2021-01-07,124329,196
2021-12-17,163385,90
2021-01-26,132408,270
2021-05-30,162102,693
2021-01-20,131910,394
2021-11-07,103851,491
2021-05-17,134358,144
2021-04-01,131910,276
2021-10-31,149301,400
2021-03-24,128194,158
2021-06-09,136250,1104
2021-05-31,154557,41
2021-12-05,154557,374
2021-02-08,156866,484
2021-08-23,128194,90
2021-10-06,157318,487
2021-01-28,156474,573
2021-01-10,156474,84
2021-08-06,126707,13
2021-06-16,124455,46
2021-03-19,142254,74
2021-01-07,132842,116
2021-01-30,124455,118
2021-02-01,132408,448
2021-06-17,128194,10
2021-06-24,110853,13
2021-05-07,132842,802
2021-04-26,143226,632
2021-05-02,156866,237
2021-11-29,157318,1003
2021-03-26,154553,18
2021-10-20,157318,233
2021-10-01,124455,8
2021-10-27,134358,210
2021-01-05,156095,8423
2021-10-16,157316,38
2021-06-05,107645,550
2021-09-19,107645,507
2021-03-13,124455,68
2021-07-12,112437,1098
2021-10-22,142254,153
2021-11-15,139935,6042
2021-12-14,139935,4476
2021-07-13,157913,431
2021-06-20,162101,304
2021-05-14,131910,395
2021-08-23,132842,518
2021-08-01,126707,25
2021-06-26,132842,564
2021-03-19,149306,75
2021-07-07,145377,56
2021-02-01,112437,2703
2021-03-14,112376,1144
2021-05-09,156485,42
2021-06-28,125506,506
2021-12-20,157316,375
2021-10-15,145377,22
2021-12-14,134200,805
2021-02-13,142254,94
2021-10-02,106100,33
2021-07-09,154557,127
2021-05-03,157318,201
2021-05-06,163385,72
2021-04-07,107645,553
2021-10-07,121807,167
2021-12-25,112582,18
2021-08-18,162101,480
2021-01-18,110675,80
2021-12-22,163385,491
2021-04-02,128772,123
2021-07-27,162101,537
2021-04-20,162101,1715
2021-04-14,128772,58
2021-04-23,128194,103
2021-08-31,110908,162
2021-12-02,157316,428
2021-01-01,157316,41
2021-05-30,156866,384
2021-05-21,157913,509
2021-12-27,112437,41
2021-11-21,156095,62
2021-12-25,112437,41
2021-09-23,156485,26
2021-10-28,149301,391
2021-06-04,110853,19
2021-03-17,154553,68
2021-06-19,157317,226
2021-05-12,142254,55
2021-10-10,112582,21
2021-12-25,161147,318
2021-06-05,156095,23
2021-06-17,103851,717
2021-04-30,156485,42
2021-09-06,132842,675
2021-12-10,132284,32
2021-04-09,157318,309
2021-12-29,134200,615
2021-11-05,157318,1058
2021-02-02,112376,766
2021-05-25,132284,63
2021-01-23,156485,12
2021-08-08,126707,13
2021-07-20,121807,232
2021-06-28,110675,107
2021-08-23,110853,11
2021-08-02,131910,121
2021-07-21,128194,33
2021-07-26,124329,295
2021-05-01,112377,368
2021-06-24,161147,563
2021-08-07,134200,555
2021-06-01,132842,808
2021-08-09,163385,88
2021-04-04,149301,1719
2021-02-05,122363,238
2021-10-04,132408,517
2021-03-18,134200,695
2021-06-14,107645,526
2021-09-23,103851,424
2021-05-24,149306,112
2021-12-30,134358,12
2021-05-09,106100,781
2021-01-24,157316,103
2021-04-30,154557,14
2021-03-25,157318,202
2021-06-17,133888,84
2021-10-27,121807,284
2021-06-30,156095,22
2021-04-20,112376,896
2021-03-16,112437,1844
2021-03-31,154553,7
2021-05-04,156095,37
2021-10-01,122363,229
2021-12-13,132408,169
2021-04-18,132408,311
2021-05-10,145377,136
2021-12-12,177925,724
2021-02-21,128194,154
2021-04-10,125506,999
2021-06-28,164725,271
2021-11-01,156485,367
2021-03-17,132284,59
2021-09-30,110908,324
2021-01-28,156095,3954
2021-09-13,110853,10
2021-11-29,162102,830
2021-09-21,112582,31
2021-12-18,164725,1
2021-06-16,126707,23
2021-08-06,136250,1120
2021-06-07,110908,541
2021-12-17,112582,17
2021-08-15,139935,5803
2021-01-03,110908,271
2021-10-31,149306,42
2021-08-27,112582,42
2021-10-16,163385,252
2021-07-10,124455,78
2021-02-14,112582,3
2021-01-08,134358,68
2021-03-31,156485,18
2021-03-28,161147,105
2021-06-24,110675,116
2021-06-28,142254,334
2021-11-29,149306,265
2021-02-06,110908,112
2021-08-16,142254,215
2021-12-31,107645,266
2021-03-28,103851,461
2021-11-13,142254,349
2021-01-01,154553,62
2021-11-24,132284,109
2021-02-28,131910,437
2021-03-30,154557,179
2021-01-14,143226,30
2021-06-17,126707,22
2021-09-30,143220,587
2021-07-26,157318,168
2021-08-26,132408,348
2021-03-08,128194,54
2021-02-07,121807,30
2021-01-06,121807,201
2021-07-15,149306,40
2021-08-26,157317,202
2021-08-14,162102,398
2021-05-15,125506,615
2021-08-21,160649,29
2021-06-08,149306,39
2021-11-07,112377,285
2021-01-23,110675,78
2021-05-06,134358,169
2021-08-17,107645,641
2021-05-16,126707,22
2021-08-30,157913,191
2021-11-06,131910,98
2021-12-07,112582,18
2021-03-10,110908,196
2021-12-22,142254,44
2021-05-21,112582,1171
2021-02-09,156485,2
2021-05-11,126707,21
2021-04-04,161147,104
2021-02-18,143226,7
2021-04-08,128772,90
2021-10-28,157318,1257
2021-09-04,110908,152
2021-11-21,126707,462
2021-07-10,128194,75
2021-10-09,142254,102
2021-09-03,162101,637
2021-12-09,110675,411
2021-07-05,160649,203
2021-02-13,157913,624
2021-11-02,124455,8
2021-10-10,124329,311
2021-08-29,131910,132
2021-01-10,142254,27
2021-10-21,149301,426
2021-07-03,110675,104
2021-04-23,161147,168
2021-01-10,128194,92
2021-04-03,156485,27
2021-12-11,162101,727
2021-01-18,154557,371
2021-05-19,157316,53
2021-05-28,112582,1128
2021-07-01,136250,1225
2021-11-04,112377,317
2021-10-03,156095,7
2021-06-13,112437,1405
2021-05-21,106100,782
2021-03-17,124455,200
2021-06-29,128772,33
2021-03-01,112376,534
2021-11-13,160649,6
2021-11-10,125506,339
2021-08-21,154557,42
2021-09-17,112437,542
2021-10-29,112376,542
2021-05-02,132842,710
2021-09-19,156866,178
2021-05-10,106100,780
2021-02-27,132284,149
2021-03-29,112582,70
2021-06-20,110908,522
2021-09-17,124455,8
2021-01-01,139935,3602
2021-09-07,132284,67
2021-03-04,134358,38
2021-05-17,106100,72
2021-09-02,124455,2
2021-02-07,154553,1
2021-08-26,160649,25
2021-12-24,112376,1203
2021-05-27,106100,1272
2021-01-11,149306,81
2021-03-29,143226,2
2021-05-13,132408,294
2021-10-28,157317,202
2021-08-13,164725,12
2021-05-06,131910,72
2021-10-20,122363,205
2021-02-22,125506,591
2021-02-07,128772,218
2021-05-14,132842,729
2021-04-19,149306,40
2021-11-20,110908,77
2021-01-12,143226,31
2021-07-21,156866,355
2021-11-19,143226,444
2021-05-14,112376,896
2021-12-17,156474,4
2021-05-28,139935,8162
2021-08-15,133888,133
2021-02-22,110675,54
2021-03-22,134358,10
2021-08-19,128772,74
2021-06-07,106100,549
2021-12-13,156866,114
2021-09-25,157913,187
2021-05-03,112437,1123
2021-08-27,134358,67
2021-02-11,139935,2344
2021-10-15,136250,241
2021-05-06,110908,641
2021-09-03,132408,373
2021-09-05,106100,34
2021-11-04,110853,9
2021-06-08,112437,1484
2021-04-04,132284,3
2021-11-23,132842,254
2021-07-31,162101,530
2021-06-02,142254,91
2021-07-10,149301,757
2021-08-02,132408,368
2021-08-28,142254,123
2021-11-09,156474,4
2021-12-22,149306,354
2021-02-05,112377,735
2021-09-30,154557,424
2021-05-16,143220,426
2021-05-30,110908,511
2021-08-24,132842,386
2021-04-11,110853,310
2021-04-28,143226,502
2021-06-19,164725,753
2021-02-13,149306,193
2021-07-01,124329,270
2021-06-22,126707,22
2021-06-26,128194,101
2021-08-08,122363,299
2021-08-27,124329,334
2021-08-10,157317,259
2021-03-06,156866,407
2021-08-07,136250,1136
2021-07-16,121807,217
2021-11-24,106100,21
2021-07-24,143226,285
2021-08-19,157316,131
2021-05-03,156485,42
2021-11-04,139935,6364
2021-08-02,156095,14
2021-06-26,139935,7997
2021-10-27,154553,5
2021-11-16,126707,91
2021-08-20,112437,596
2021-11-21,103851,592
2021-12-10,128772,284
2021-09-07,124455,7
2021-04-24,156866,235
2021-07-27,136250,861
2021-05-07,103851,885
2021-05-28,156474,319
2021-06-28,124455,85
2021-04-27,112377,391
2021-07-29,112437,709
2021-02-05,156095,2644
2021-09-19,128772,100
2021-10-12,145377,23
2021-04-09,110853,250
2021-10-20,149301,429
2021-04-28,132408,345
2021-01-06,132408,285
2021-07-04,132284,135
2021-01-03,110853,293
2021-07-26,149306,63
2021-08-13,112377,489
2021-04-17,132842,697
2021-05-17,145377,107
2021-04-30,145377,169
2021-10-28,156485,370
2021-09-16,112376,801
2021-07-11,157318,355
2021-06-11,145377,70
2021-05-15,156866,313
2021-04-21,145377,298
2021-04-17,103851,920
2021-04-11,112582,249
2021-09-14,145377,28
2021-03-02,107645,436
