comp_date,seller_id,product_id,price
2021-01-01,23,112437,7999
2021-01-01,24,112437,8499
2021-01-01,26,112437,6990
2021-01-01,41,112437,7400
2021-01-01,48,112437,8499
2021-01-01,180,112437,7299
2021-01-01,188,112437,7490
2021-01-01,23,110675,3599
2021-01-01,24,110675,3649
2021-01-01,26,110675,3649
2021-01-01,41,110675,2790
2021-01-01,48,110675,3649
2021-01-01,180,110675,3490
2021-01-01,188,110675,3690
2021-01-01,407,110675,2690
2021-01-01,23,103851,1190
2021-01-01,24,103851,1190
2021-01-01,26,103851,1190
2021-01-01,48,103851,1190
2021-01-01,180,103851,1099
2021-01-01,188,103851,1190
2021-01-01,407,103851,998
2021-01-01,23,107645,1999
2021-01-01,24,107645,3990
2021-01-01,26,107645,3990
2021-01-01,41,107645,1750
2021-01-01,48,107645,3990
2021-01-01,180,107645,1779
2021-01-01,188,107645,1990
2021-01-01,407,107645,2299
2021-01-01,24,110853,3990
2021-01-01,26,110853,7490
2021-01-01,41,110853,5065
2021-01-01,48,110853,7490
2021-01-01,188,110853,5490
2021-01-01,407,110853,4599
2021-01-01,24,112582,25772
2021-01-01,180,112582,26990
2021-01-01,188,112582,26990
2021-01-01,407,112582,23990
2021-01-01,23,122363,5999
2021-01-01,24,122363,13990
2021-01-01,26,122363,13990
2021-01-01,41,122363,7080
2021-01-01,48,122363,13990
2021-01-01,180,122363,6899
2021-01-01,188,122363,7990
2021-01-01,407,122363,6868
2021-01-01,23,124455,23499
2021-01-01,24,124455,19990
2021-01-01,26,124455,25499
2021-01-01,41,124455,21450
2021-01-01,48,124455,25499
2021-01-01,180,124455,23990
2021-01-01,188,124455,23490
2021-01-01,407,124455,20990
2021-01-01,24,126707,4499
2021-01-01,23,124329,3999
2021-01-01,24,124329,2999
2021-01-01,26,124329,2999
2021-01-01,48,124329,2999
2021-01-01,407,124329,2940
2021-01-01,23,128194,23999
2021-01-01,24,128194,28499
2021-01-01,26,128194,28499
2021-01-01,41,128194,24000
2021-01-01,48,128194,28499
2021-01-01,180,128194,23700
2021-01-01,188,128194,26490
2021-01-01,407,128194,23189
2021-01-01,24,156095,3890
2021-01-01,26,156095,3890
2021-01-01,41,156095,4990
2021-01-01,48,156095,3890
2021-01-01,180,156095,4499
2021-01-01,23,128772,21999
2021-01-01,24,128772,21990
2021-01-01,26,128772,21990
2021-01-01,41,128772,21990
2021-01-01,48,128772,21990
2021-01-01,180,128772,24990
2021-01-01,407,128772,20750
2021-01-01,26,134358,41990
2021-01-01,48,134358,41990
2021-01-01,188,134358,41990
2021-01-01,23,132284,29990
2021-01-01,24,132284,29990
2021-01-01,26,132284,29990
2021-01-01,41,132284,26990
2021-01-01,48,132284,29990
2021-01-01,188,132284,29990
2021-01-01,407,132284,25488
2021-01-01,23,132842,2799
2021-01-01,24,132842,3490
2021-01-01,26,132842,3490
2021-01-01,41,132842,2231
2021-01-01,48,132842,3490
2021-01-01,180,132842,2252
2021-01-01,188,132842,2490
2021-01-01,407,132842,2390
2021-01-01,24,132408,11999
2021-01-01,26,132408,15490
2021-01-01,48,132408,15490
2021-01-01,24,133888,3990
2021-01-01,24,142254,4490
2021-01-01,26,142254,6990
2021-01-01,48,142254,6990
2021-01-01,180,142254,4799
2021-01-01,407,142254,5390
2021-01-01,23,112376,999
2021-01-01,24,112376,490
2021-01-01,26,112376,490
2021-01-01,48,112376,490
2021-01-01,188,112376,990
2021-01-01,24,110908,4490
2021-01-01,26,110908,6990
2021-01-01,41,110908,5099
2021-01-01,48,110908,6990
2021-01-01,23,121807,1499
2021-01-01,24,121807,1490
2021-01-01,26,121807,1490
2021-01-01,48,121807,1490
2021-01-01,407,121807,1390
2021-01-01,24,143226,2490
2021-01-01,26,143226,2490
2021-01-01,41,143226,2100
2021-01-01,48,143226,2490
2021-01-01,180,143226,2099
2021-01-01,188,143226,2490
2021-01-01,407,143226,2490
2021-01-01,24,145377,1890
2021-01-01,26,145377,1890
2021-01-01,48,145377,1890
2021-01-01,23,149306,18499
2021-01-01,24,149306,18990
2021-01-01,24,149306,21890
2021-01-01,26,149306,21890
2021-01-01,41,149306,17490
2021-01-01,48,149306,21890
2021-01-01,180,149306,21990
2021-01-01,188,149306,24998
2021-01-01,23,154557,28999
2021-01-01,24,154557,28990
2021-01-01,26,154557,28990
2021-01-01,41,154557,27400
2021-01-01,48,154557,28990
2021-01-01,180,154557,29990
2021-01-01,407,154557,26889
2021-01-01,24,154553,19990
2021-01-01,26,154553,19990
2021-01-01,41,154553,19990
2021-01-01,48,154553,19990
2021-01-01,180,154553,19990
2021-01-01,407,154553,21590
2021-01-01,24,156485,54990
2021-01-01,24,156485,62990
2021-01-01,26,156485,62990
2021-01-01,41,156485,56300
2021-01-01,48,156485,62990
2021-01-01,180,156485,54490
2021-01-01,188,156485,57990
2021-01-01,24,156866,27990
2021-01-01,26,156866,34990
2021-01-01,41,156866,31500
2021-01-01,48,156866,34990
2021-01-01,188,156866,32990
2021-01-01,24,156474,26990
2021-01-01,24,156474,31490
2021-01-01,26,156474,31490
2021-01-01,41,156474,27900
2021-01-01,48,156474,31490
2021-01-01,41,162101,19990
2021-01-01,180,162101,19990
2021-01-01,41,162102,22690
2021-01-01,180,162102,24990
2021-01-01,24,157318,4590
2021-01-01,26,157318,10990
2021-01-01,48,157318,10990
2021-01-01,24,157316,3990
2021-01-01,26,157316,6990
2021-01-01,48,157316,6990
2021-01-01,24,157317,4599
2021-01-01,24,157317,9990
2021-01-01,26,157317,9990
2021-01-01,48,157317,9990
2021-01-02,23,112437,7999
2021-01-02,24,112437,8499
2021-01-02,26,112437,8499
2021-01-02,41,112437,7400
2021-01-02,48,112437,8499
2021-01-02,180,112437,7299
2021-01-02,188,112437,7490
2021-01-02,23,110675,3599
2021-01-02,24,110675,3649
2021-01-02,26,110675,3649
2021-01-02,41,110675,2790
2021-01-02,48,110675,3649
2021-01-02,180,110675,3490
2021-01-02,188,110675,3690
2021-01-02,407,110675,2690
2021-01-02,23,103851,1190
2021-01-02,24,103851,1190
2021-01-02,26,103851,1190
2021-01-02,48,103851,1190
2021-01-02,180,103851,1099
2021-01-02,188,103851,1190
2021-01-02,407,103851,998
2021-01-02,23,107645,1999
2021-01-02,24,107645,3990
2021-01-02,26,107645,3990
2021-01-02,41,107645,1750
2021-01-02,48,107645,3990
2021-01-02,180,107645,1779
2021-01-02,180,107645,1899
2021-01-02,188,107645,1990
2021-01-02,407,107645,2299
2021-01-02,24,110853,3990
2021-01-02,26,110853,7490
2021-01-02,41,110853,5065
2021-01-02,48,110853,7490
2021-01-02,188,110853,5490
2021-01-02,407,110853,4599
2021-01-02,24,112582,25772
2021-01-02,180,112582,26990
2021-01-02,180,112582,27990
